M= 90, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 91, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 92, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 93, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 94, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 95, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 96, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  1
M= 97, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 98, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 99, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 64, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=100, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=101, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=102, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=103, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=104, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=105, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=106, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=107, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=108, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=109, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=110, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=111, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=112, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=113, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=114, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=115, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=116, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=117, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=118, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=119, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=120, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=121, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=122, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=123, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=124, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=125, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=126, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=127, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=128, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=160, N=4096, K=4096, cost=   0.190, config=BLOCK_TILE_M= 64, BLOCK_TILE_N=128, TILE_K=  8, THREAD_TILE_M= 16, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=192, N=4096, K=4096, cost=   0.194, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=224, N=4096, K=4096, cost=   0.195, config=BLOCK_TILE_M= 64, BLOCK_TILE_N=128, TILE_K=  8, THREAD_TILE_M= 16, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
